PORTE DE COVID-19 ECUADOR,,,,,,,,
,Esmeraldas,"643,654",,,,,,
Fecha,Contagiados,Muertos,Fallecidos Probables,,Jonathan Medina,,,
9/17/2020,2189,273,64,,,,,
9/16/2020,2178,273,64,,,,,
9/15/2020,2170,273,64,,,,,
9/14/2020,2166,273,64,,,,,
9/13/2020,2156,273,64,,,,,
9/12/2020,2120,273,64,,,,,
9/11/2020,2110,273,64,,,,,
9/10/2020,2105,270,64,,,,,
9/9/2020,2095,270,64,,,,,
9/8/2020,2080,269,63,,,,,
9/7/2020,2066,269,63,,,,,
9/6/2020,2055,268,63,,,,,
9/5/2020,2040,267,62,,,,,
9/4/2020,2035,267,62,,,,,
9/3/2020,2031,266,62,,,,,
9/2/2020,2030,266,62,,,,,
9/1/2020,2029,265,62,,,,,
Aug-20,,,,,,,,
Fecha,Contagiados,Muertos,Fallecidos Probables,,,,,
8/31/2020,2021,262,-,,,,,
8/30/2020,2020,262,-,,,,,
8/29/2020,2000,262,-,,,,,
8/28/2020,1994,255,-,,,,,
8/27/2020,1990,254,-,,,,,
8/26/2020,1952,253,-,,,,,
8/25/2020,1920,251,-,,,,,
8/24/2020,1905,245,-,,,,,
8/23/2020,1882,242,-,,,,,
8/22/2020,1850,240,-,,,,,
8/21/2020,1839,239,-,,,,,
8/20/2020,1790,239,-,,,,,
8/19/2020,1768,239,-,,,,,
8/18/2020,1740,239,-,,,,,
8/17/2020,1730,239,-,,,,,
8/16/2020,1689,237,-,,,,,
8/15/2020,1655,234,-,,,,,
8/14/2020,1630,232,-,,,,,
8/13/2020,1629,229,-,,,,,
8/12/2020,1541,229,-,,,,,
8/11/2020,1536,229,-,,,,,
8/10/2020,1520,229,-,,,,,
8/9/2020,1516,226,-,,,,,
8/8/2020,1496,226,-,,,,,
8/7/2020,1487,226,-,,,,,
8/6/2020,1466,225,-,,,,,
8/5/2020,1456,225,-,,,,,
8/4/2020,1450,225,-,,,,,
8/3/2020,1448,224,-,,,,,
8/2/1900,1445,222,-,,,,,
8/1/2020,1441,221,-,,,,,
Jul-20,,,,,,,,
Fecha,Contagiados,Muertos,Fallecidos Probables,,,,,
7/31/2020,1425,213,-,,,,,
7/30/2020,1400,213,-,,,,,
7/29/2020,1360,213,-,,,,,
7/28/2020,1345,213,-,,,,,
7/27/2020,1335,213,-,,,,,
7/26/2020,1310,213,-,,,,,
7/25/2020,1298,213,-,,,,,
7/24/2020,1270,213,-,,,,,
7/23/2020,1265,213,-,,,,,
7/22/2020,1240,210,-,,,,,
7/21/2020,1225,209,-,,,,,
7/20/2020,1215,205,-,,,,,
7/19/2020,1210,203,-,,,,,
7/18/2020,1200,200,-,,,,,
7/17/2020,1178,198,-,,,,,
7/16/2020,1160,196,-,,,,,
7/15/2020,1140,190,-,,,,,
7/14/2020,1134,187,-,,,,,
7/13/2020,1125,182,-,,,,,
7/12/2020,1110,175,-,,,,,
7/11/2020,1099,174,-,,,,,
7/10/2020,1040,168,-,,,,,
7/9/2020,1025,163,-,,,,,
7/8/2020,1010,160,-,,,,,
7/7/2020,998,160,-,,,,,
7/6/2020,930,159,-,,,,,
7/5/2020,860,158,-,,,,,
7/4/2020,855,157,-,,,,,
7/3/2020,810,157,-,,,,,
7/2/1900,798,157,-,,,,,
7/1/2020,777,156,-,,,,,
Jun-20,,,,,,,,
Fecha,Contagiados,Muertos,Fallecidos Probables,,,,,
6/30/2020,773,151,-,,,,,
